Model,GPU,TP,PP,Energy/req (J),Avg TPOT (s),Token tput (tok/s),Avg Output Tokens,Avg BS (reqs),Max BS (reqs)
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,606.9868534459383,0.43850185240767864,1466.067434936246,509.7115,1011.1398880895284,1024
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,1031.8251235129715,0.1514299263095844,809.977629463762,509.95,127.7813000320205,128
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,554.6010931006168,0.41804998704626584,1782.213044864129,507.887,1252.1837655016911,1280
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,558.4096612013528,0.4495908069856169,1902.2275887335127,511.871,1472.7764505119453,1536
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,882.5517114784957,0.1828259786596424,979.3144884165816,509.1155,191.65695546064674,192
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,752.2867691959711,0.19767414706484224,1159.780149717873,510.324,255.5047206923682,256
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,786.6240051770778,0.2415873737102111,1134.344086099511,511.5885,319.2314660309893,320
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,676.5777204160253,0.3066179949832076,1304.5372077761078,509.8,510.13976891539323,512
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,1511.0719928249534,0.11626139987921595,544.0812204110125,508.719,63.887175973506906,64
mistralai/Mistral-Large-Instruct-2407,NVIDIA H100 80GB HBM3,8,1,635.9990001388276,0.36471325010547,1482.0156756419815,512.611,762.5785219399538,768
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,71.29359602063006,0.06160552758597293,1933.3489323446454,434.642,127.75246548323472,128
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,71.15452333899766,0.09160336425962502,1857.7726004581061,435.5905,191.61949685534591,192
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,65.89861180825001,0.1157712989574553,1898.8828208815294,436.911,255.45472837022132,256
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,58.618175285950784,0.11410181778055746,2311.568043645062,433.584,319.2368421052632,320
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,60.12427915643527,0.182747691277966,2055.3188214569273,438.993,510.0939881456393,512
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,92.9539313117284,0.038852985115498076,1602.6156809175275,434.8705,63.869594056778986,64
mistralai/Mistral-Nemo-Instruct-2407,NVIDIA H100 80GB HBM3,1,1,57.924891373439145,0.23001808831044732,2123.6265644271543,439.643,760.1775636613902,768
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,365.27972271743306,0.3064181125350064,1753.198262872884,386.667,1006.8417190775681,1024
mistralai/Mixtral-8x22B-Instruct-v0.1,NVIDIA H100 80GB HBM3,8,1,765.9545928707363,0.14295104971541953,849.3772453440321,386.954,127.7291023748826,128
